order_id,user_id,status,num_of_item,total_sale_price,created_at,traffic_source
95,31002,Processing,2,61.73,2023-06-23 00:42:03.196885,Facebook
96,31652,Returned,1,29.57,2023-06-25 18:03:55.289951,Organic
97,46742,Returned,1,19.99,2023-06-25 18:49:10.203112,Email
98,43900,Processing,4,185.08,2023-06-26 13:48:28.849219,Organic
99,34610,Complete,1,13.04,2023-06-26 14:37:05.356695,Email
100,25350,Complete,2,123.46,2023-06-27 08:38:22.427202,Email
101,32323,Shipped,1,101.48,2023-06-27 19:23:27.137038,Search
102,23190,Complete,1,44.35,2023-06-30 15:29:42.431631,Facebook
103,41721,Complete,1,32.23,2023-07-01 17:28:55.426605,Organic
104,34200,Returned,1,25.65,2023-07-03 08:02:22.052075,Email
105,10231,Complete,1,9.31,2023-07-03 12:13:05.347524,Email
106,11457,Returned,4,270.36,2023-07-05 13:43:23.413964,Facebook
107,4021,Shipped,1,27.86,2023-07-06 01:32:27.656186,Organic
108,10938,Returned,1,18.86,2023-07-07 04:29:38.005657,Email
109,48255,Shipped,2,63.08,2023-07-08 04:12:10.671079,Organic
110,33387,Complete,1,51.6,2023-07-08 19:05:52.675057,Email
111,18675,Complete,1,22.73,2023-07-08 20:24:45.465804,Email
112,12957,Shipped,1,20.44,2023-07-10 06:46:10.901825,Search
113,18129,Processing,1,37.35,2023-07-10 20:24:16.853758,Facebook
114,18596,Complete,2,58.47,2023-07-14 14:01:07.179514,Search
115,46056,Returned,1,71.02,2023-07-14 23:24:37.765303,Organic
116,29306,Complete,1,42.93,2023-07-16 12:07:33.894955,Organic
117,46806,Complete,1,62.2,2023-07-16 14:25:34.201344,Email
118,31822,Shipped,4,112.06,2023-07-17 00:06:25.422741,Search
119,37517,Returned,3,93.37,2023-07-17 14:26:31.918208,Organic
120,28213,Complete,1,33.46,2023-07-18 16:04:56.788397,Email
121,16700,Returned,1,47.85,2023-07-18 16:48:00.451357,Organic
122,14506,Returned,1,68.8,2023-07-19 18:02:52.346001,Organic
123,35344,Complete,2,71.18,2023-07-20 02:32:10.740068,Organic
124,8657,Complete,2,138.19,2023-07-20 05:51:52.402807,Search
125,39070,Complete,2,90.64,2023-07-21 13:29:59.321434,Email
126,15217,Complete,1,13.81,2023-07-21 18:51:30.608979,Search
127,24313,Cancelled,1,55.88,2023-07-21 19:24:45.206142,Organic
128,44557,Complete,1,72.44,2023-07-22 06:15:02.283105,Display
129,49824,Complete,1,37.08,2023-07-22 09:40:28.409120,Search
130,12774,Cancelled,4,184.98,2023-07-22 10:20:00.411471,Facebook
131,27455,Cancelled,2,159.94,2023-07-25 07:39:21.565794,Display
132,21996,Complete,2,54.35,2023-07-28 11:22:34.948574,Email
133,32684,Shipped,2,150.5,2023-07-28 18:32:08.659491,Search
134,35585,Complete,1,96.31,2023-07-29 10:23:59.986368,Email
135,43222,Complete,1,56.74,2023-07-30 11:38:24.116888,Organic
136,17490,Complete,2,202.86,2023-07-30 22:17:43.424194,Facebook
137,35635,Complete,2,66.57,2023-07-31 03:31:38.973303,Email
138,30648,Complete,1,35.51,2023-07-31 20:27:15.881557,Organic
139,15935,Complete,2,154.93,2023-08-01 05:25:27.165543,Search
140,26961,Cancelled,2,61.8,2023-08-01 07:17:03.521920,Organic
141,48415,Returned,1,127.38,2023-08-01 11:57:26.038593,Facebook
142,35245,Cancelled,1,33.92,2023-08-01 23:14:57.789225,Organic
143,38804,Complete,2,119.98,2023-08-02 01:29:39.795023,Search
144,18001,Complete,1,20.16,2023-08-02 09:48:40.795132,Search
145,35986,Complete,1,11.89,2023-08-02 17:53:01.514534,Search
146,11064,Cancelled,3,126.79,2023-08-02 21:57:41.206419,Organic
147,20143,Complete,1,138.44,2023-08-05 12:43:57.651696,Organic
148,9887,Returned,2,54.2,2023-08-07 01:43:33.210518,Search
149,29070,Complete,4,130.2,2023-08-07 11:08:22.264975,Display
150,37009,Complete,1,28.51,2023-08-07 11:18:04.014893,Organic
151,37014,Returned,2,29.56,2023-08-08 00:51:37.250089,Organic
152,17216,Cancelled,2,39.61,2023-08-08 12:49:06.477155,Organic
153,7793,Cancelled,1,64.87,2023-08-09 10:11:02.438133,Facebook
154,2152,Complete,1,39.02,2023-08-10 23:55:19.837859,Organic
155,25980,Processing,1,33.85,2023-08-12 00:46:05.127463,Search
156,12752,Complete,1,64.65,2023-08-13 04:54:56.470856,Email
157,3888,Returned,3,229.06,2023-08-13 22:53:19.065351,Search
158,5573,Complete,3,85.8,2023-08-15 22:30:01.317357,Search
159,37413,Complete,2,25.46,2023-08-15 22:45:00.239284,Organic
160,10222,Returned,1,48.23,2023-08-16 05:53:03.952898,Search
161,10542,Complete,1,29.09,2023-08-16 15:30:22.419452,Search
162,16087,Returned,1,9.36,2023-08-17 12:53:11.374403,Search
163,37797,Cancelled,3,95.77,2023-08-18 02:50:30.383059,Email
164,28884,Complete,1,16.62,2023-08-18 03:05:24.908173,Organic
165,12851,Complete,4,175.58,2023-08-18 10:41:01.637430,Search
166,40898,Returned,1,79.68,2023-08-18 17:33:22.827904,Email
167,18838,Processing,1,51.18,2023-08-18 17:35:35.951272,Organic
168,27491,Complete,1,23.2,2023-08-18 19:18:16.759763,Facebook
169,25599,Complete,1,33.17,2023-08-19 12:29:43.343675,Organic
170,46087,Returned,4,123.27,2023-08-19 14:38:09.469943,Search
171,36339,Cancelled,1,27.49,2023-08-20 18:44:59.238266,Facebook
172,41158,Returned,3,121.14,2023-08-21 01:08:10.734209,Search
173,37043,Returned,4,122.81,2023-08-21 17:42:57.059774,Organic
174,46851,Returned,1,36.48,2023-08-22 21:56:29.798533,Organic
175,14599,Cancelled,2,95.12,2023-08-23 05:22:25.658127,Organic
176,4442,Complete,1,57.49,2023-08-23 13:46:17.050650,Organic
177,37644,Complete,1,33.1,2023-08-24 05:23:37.432744,Display
178,27136,Returned,1,64.25,2023-08-24 13:24:25.948984,Email
179,10488,Shipped,4,80.89,2023-08-24 22:19:39.524794,Search
180,41248,Complete,2,102.9,2023-08-25 12:03:09.220486,Organic
181,29081,Complete,1,19.71,2023-08-25 18:26:18.668017,Facebook
182,14169,Shipped,3,87.23,2023-08-25 19:39:06.526776,Email
183,24479,Complete,2,82.02,2023-08-26 12:14:18.768280,Organic
184,34452,Returned,1,31.86,2023-08-26 17:10:52.853321,Display
185,1184,Complete,1,62.51,2023-08-27 21:18:43.458231,Email
186,26105,Complete,2,84.34,2023-08-28 02:51:33.761258,Search
187,36000,Complete,1,25.34,2023-08-28 06:07:46.343477,Search
188,29636,Complete,1,14.97,2023-08-30 02:50:38.172913,Search
189,23267,Complete,2,57.57,2023-08-30 11:40:21.292770,Organic
190,30284,Complete,1,132.58,2023-08-31 00:47:59.810688,Email
191,5521,Complete,2,59.15,2023-08-31 14:29:52.922477,Facebook
192,42361,Shipped,1,28.07,2023-09-01 14:26:13.943191,Facebook
193,22455,Shipped,1,12.55,2023-09-02 03:11:52.750006,Search
194,10891,Returned,1,38.29,2023-09-02 20:38:52.010329,Organic
195,832,Complete,1,10.96,2023-09-03 00:08:57.900431,Search
196,20413,Returned,1,50.55,2023-09-03 18:17:08.578517,Facebook
197,26933,Complete,1,19.44,2023-09-04 02:14:45.720274,Organic
198,33438,Complete,2,67.42,2023-09-04 10:17:13.187575,Email
199,46674,Returned,2,56.82,2023-09-04 14:37:11.299768,Email
200,18936,Complete,1,9.57,2023-09-06 06:40:24.894301,Display
201,2905,Complete,1,23.13,2023-09-06 09:25:58.790643,Display
202,36620,Complete,1,46.93,2023-09-07 00:21:59.509721,Email
203,48139,Returned,2,97.57,2023-09-07 04:33:29.506086,Organic
204,35278,Complete,1,49.32,2023-09-07 08:50:49.570581,Display
205,46000,Complete,3,222.96,2023-09-07 18:00:09.163113,Search
206,37197,Complete,1,107.64,2023-09-08 01:43:29.607368,Organic
207,17776,Shipped,1,16.55,2023-09-08 11:33:28.274659,Organic
208,15997,Complete,3,133.7,2023-09-08 12:06:43.779220,Organic
209,22780,Complete,1,39.64,2023-09-09 12:09:46.911666,Search
210,4300,Processing,2,50.72,2023-09-09 12:42:20.887126,Facebook
211,7217,Returned,4,170.4,2023-09-09 19:30:16.942816,Search
212,32774,Complete,1,19.5,2023-09-10 08:01:33.700045,Display
213,10508,Returned,1,58.55,2023-09-11 01:37:38.622980,Organic
214,46082,Complete,2,101.2,2023-09-11 02:52:13.347255,Search
215,3150,Complete,2,78.15,2023-09-11 03:12:04.924529,Search
216,35251,Shipped,4,71.69,2023-09-11 10:08:53.285432,Organic
217,27088,Complete,2,88.47,2023-09-11 20:42:43.657826,Search
218,19680,Shipped,1,30.29,2023-09-11 23:34:08.782665,Email
219,32309,Complete,2,101.67,2023-09-12 01:25:06.932963,Email
220,47847,Complete,1,21.62,2023-09-12 03:44:21.408777,Organic
221,44311,Complete,2,149.32,2023-09-12 04:30:10.609898,Search
222,7460,Complete,1,53.8,2023-09-14 05:01:19.195603,Organic
223,63,Returned,3,174.82,2023-09-14 16:34:41.226614,Organic
224,15483,Processing,3,110.74,2023-09-16 07:38:46.199716,Facebook
225,46243,Complete,1,43.51,2023-09-16 19:28:56.784603,Organic
226,46680,Complete,2,18.25,2023-09-17 15:47:49.412837,Search
227,20256,Complete,1,78.98,2023-09-17 17:05:57.185432,Organic
228,20329,Complete,3,144.37,2023-09-18 11:20:42.196910,Email
229,12443,Complete,2,75.83,2023-09-18 18:47:49.965578,Email
230,34609,Processing,1,29.05,2023-09-18 23:22:36.886161,Facebook
231,25410,Complete,2,185.4,2023-09-19 12:42:13.398851,Search
232,37593,Complete,1,66.64,2023-09-20 02:06:58.417527,Search
233,17837,Complete,1,58.52,2023-09-20 04:20:22.279202,Organic
234,7798,Returned,1,13.04,2023-09-20 20:31:43.800098,Facebook
235,9208,Complete,1,30.43,2023-09-22 00:15:13.074893,Search
236,4525,Returned,2,102.23,2023-09-22 03:11:39.949276,Organic
237,42055,Complete,1,40.25,2023-09-23 14:31:30.055484,Organic
238,42603,Complete,1,25.88,2023-09-24 17:38:35.555255,Facebook
239,45115,Returned,1,30.87,2023-09-24 22:56:04.374778,Facebook
240,3524,Shipped,1,17.54,2023-09-25 04:03:22.807689,Organic
241,28632,Shipped,2,48.23,2023-09-25 04:24:10.374585,Email
242,32835,Complete,1,104.13,2023-09-26 08:34:00.052607,Search
243,7237,Complete,1,44.39,2023-09-26 08:59:29.864921,Organic
244,40566,Complete,3,179.86,2023-09-27 11:17:30.536543,Organic
245,31518,Returned,1,51.79,2023-09-27 15:16:23.513028,Facebook
246,146,Complete,3,163.95,2023-09-28 00:10:52.930218,Search
247,16940,Cancelled,2,101.5,2023-09-28 04:57:02.788426,Search
248,40122,Complete,4,191.37,2023-09-28 07:15:51.458887,Facebook
249,26518,Complete,2,47.53,2023-09-28 18:01:38.915560,Search
250,40832,Processing,1,13.7,2023-09-29 18:36:36.385527,Search
251,47375,Complete,1,50.12,2023-09-29 19:46:50.340837,Search
252,49142,Returned,2,54.21,2023-09-30 17:21:34.715084,Organic
253,44866,Processing,2,31.06,2023-10-01 19:43:55.069251,Email
254,46166,Complete,1,18.45,2023-10-02 03:29:27.278171,Email
255,16209,Returned,1,33.99,2023-10-02 08:34:32.228459,Organic
256,13510,Complete,2,77.07,2023-10-03 03:34:53.650528,Organic
257,40497,Returned,2,87.59,2023-10-03 15:02:28.691335,Organic
258,20664,Returned,1,82.4,2023-10-03 23:02:41.091060,Email
259,34799,Complete,1,81.32,2023-10-04 05:36:09.009826,Search
260,33112,Complete,1,12.09,2023-10-04 08:45:56.157779,Search
261,35526,Returned,1,97.87,2023-10-04 14:44:39.273746,Search
262,19429,Complete,2,43.88,2023-10-04 20:27:48.368924,Email
263,26760,Returned,2,46.19,2023-10-05 05:19:17.819562,Search
264,45928,Complete,1,24.17,2023-10-05 21:00:27.417838,Facebook
265,4822,Processing,2,29.85,2023-10-06 19:52:52.429399,Email
266,43912,Processing,1,24.72,2023-10-07 06:55:39.114930,Email
267,12004,Returned,1,34.71,2023-10-07 07:38:18.174759,Search
268,6407,Returned,1,41.81,2023-10-07 11:55:49.248439,Search
269,21615,Shipped,3,122.56,2023-10-08 03:12:47.855641,Email
270,47940,Complete,1,65.13,2023-10-08 11:32:33.906798,Organic
271,27650,Complete,1,67.28,2023-10-08 20:58:06.080536,Search
272,15715,Processing,1,82.24,2023-10-09 05:07:28.631221,Search
273,48458,Complete,1,16.61,2023-10-09 09:51:42.174287,Search
274,17797,Cancelled,4,233.55,2023-10-09 10:43:32.504859,Search
275,22031,Complete,1,39.45,2023-10-10 04:39:20.199021,Search
276,37046,Complete,1,117.58,2023-10-12 01:24:38.806500,Search
277,43800,Returned,1,11.79,2023-10-12 09:58:25.599172,Email
278,49127,Cancelled,1,11.15,2023-10-12 10:41:05.202329,Email
279,2755,Complete,1,53.69,2023-10-13 08:16:08.006471,Search
280,30006,Returned,2,76.76,2023-10-13 13:23:37.088367,Organic
281,2769,Returned,2,53.83,2023-10-16 11:30:03.903003,Search
282,10625,Complete,1,71.92,2023-10-17 07:26:38.469503,Search
283,11042,Complete,1,78.09,2023-10-18 12:17:26.578591,Organic
284,9586,Complete,1,54.69,2023-10-19 00:39:37.131333,Email
285,49463,Complete,1,113.22,2023-10-20 09:56:01.624161,Organic
286,47502,Returned,2,72.45,2023-10-20 12:53:26.680895,Organic
287,39357,Complete,1,9.41,2023-10-20 18:18:35.392365,Email
288,33781,Returned,3,88.34,2023-10-20 20:28:44.908169,Facebook
289,45311,Complete,2,97.78,2023-10-20 23:12:13.527194,Email
290,1086,Complete,3,221.45,2023-10-21 06:05:09.940636,Search
291,10799,Shipped,4,83.55,2023-10-21 09:56:21.700589,Organic
292,18743,Complete,1,41.39,2023-10-21 12:14:23.428147,Organic
293,16041,Complete,2,56.7,2023-10-21 17:30:34.209273,Organic
294,43872,Returned,1,19.95,2023-10-21 23:11:27.150203,Search
295,10604,Complete,1,20.71,2023-10-23 11:03:45.108712,Organic
296,12548,Complete,2,113.43,2023-10-23 22:55:49.222611,Facebook
297,12587,Shipped,1,46.68,2023-10-24 19:20:54.227741,Email
298,1943,Complete,2,32.76,2023-10-24 21:02:41.551598,Organic
299,35741,Returned,1,70.03,2023-10-24 23:54:39.450359,Search
300,27276,Complete,1,11.94,2023-10-25 06:05:38.909041,Organic
301,39402,Complete,3,111.94,2023-10-26 07:02:43.158057,Email
302,36892,Complete,2,64.76,2023-10-26 16:47:20.147229,Email
303,22615,Complete,1,11.65,2023-10-27 03:54:31.583915,Facebook
304,7374,Complete,1,30.0,2023-10-28 01:53:29.917781,Organic
305,20080,Complete,1,13.57,2023-10-28 07:12:11.334292,Search
306,42308,Complete,2,56.2,2023-10-29 11:12:56.896626,Search
307,46371,Complete,1,24.39,2023-10-29 18:38:54.139561,Search
308,32615,Processing,1,30.94,2023-10-31 12:59:00.934141,Search
309,34845,Returned,1,35.6,2023-11-02 13:59:30.573179,Search
310,49160,Cancelled,1,11.23,2023-11-02 17:27:44.318047,Organic
311,46871,Complete,1,48.73,2023-11-02 21:42:45.786101,Search
312,12981,Complete,1,42.76,2023-11-03 01:58:02.312599,Organic
313,14157,Complete,1,30.47,2023-11-03 04:09:16.770643,Email
314,4782,Complete,3,216.82,2023-11-03 06:14:13.635680,Email
315,18684,Complete,2,71.16,2023-11-03 06:32:02.981375,Email
316,47082,Returned,2,74.83,2023-11-03 09:45:20.543573,Search
317,35888,Cancelled,1,16.43,2023-11-03 11:35:26.630705,Email
318,34466,Processing,4,146.02,2023-11-03 23:28:01.983831,Facebook
319,23192,Processing,1,53.38,2023-11-04 05:51:57.200265,Email
320,36637,Returned,2,77.61,2023-11-04 16:56:21.880800,Organic
321,21820,Complete,1,36.45,2023-11-06 06:46:29.047933,Email
322,33960,Returned,2,90.74,2023-11-06 15:47:50.584477,Organic
323,47611,Complete,3,164.87,2023-11-06 17:44:18.578627,Facebook
324,31904,Returned,2,144.46,2023-11-08 01:19:19.223799,Organic
325,36597,Returned,1,38.36,2023-11-08 03:43:17.133483,Email
326,37331,Complete,4,194.89,2023-11-08 21:45:23.261506,Search
327,2809,Returned,1,56.09,2023-11-09 01:02:42.615629,Search
328,44927,Complete,3,108.31,2023-11-09 14:51:45.143949,Organic
329,32619,Complete,1,24.82,2023-11-10 14:25:03.487419,Email
330,44804,Returned,2,68.01,2023-11-10 18:26:26.450035,Search
331,26592,Returned,2,59.85,2023-11-10 22:21:43.443478,Organic
332,20463,Returned,3,217.2,2023-11-11 02:34:54.649375,Search
333,36635,Cancelled,3,134.41,2023-11-11 16:56:32.079662,Organic
334,5207,Processing,2,60.44,2023-11-12 00:33:59.984628,Organic
335,18624,Complete,1,32.8,2023-11-12 22:28:24.654917,Email
336,1588,Returned,2,170.41,2023-11-12 22:50:50.087183,Organic
337,26807,Returned,1,36.33,2023-11-13 00:19:53.414372,Search
338,25183,Complete,2,72.89,2023-11-13 17:15:47.989421,Facebook
339,7262,Returned,2,66.15,2023-11-14 04:56:32.726617,Search
340,13810,Processing,1,49.13,2023-11-14 05:43:13.118611,Organic
341,43720,Shipped,1,44.45,2023-11-15 08:31:34.141833,Email
342,8023,Returned,1,17.84,2023-11-15 16:49:30.709935,Email
343,46554,Complete,3,81.92,2023-11-15 19:02:50.026708,Facebook
344,1811,Returned,2,52.06,2023-11-16 16:49:09.758356,Email
345,38597,Complete,3,121.97,2023-11-16 23:36:12.841068,Organic
346,16603,Complete,3,115.05,2023-11-17 08:58:19.862591,Organic
347,23563,Complete,1,54.91,2023-11-17 15:46:53.713440,Organic
348,15332,Complete,4,136.01,2023-11-18 12:28:13.480515,Search
349,12521,Complete,1,26.97,2023-11-18 19:30:37.404497,Email
350,16684,Cancelled,2,201.59,2023-11-19 02:02:44.852825,Display
351,23131,Complete,2,103.63,2023-11-19 10:44:22.822603,Facebook
352,32960,Complete,1,30.09,2023-11-19 15:49:21.573227,Email
353,3108,Cancelled,3,133.72,2023-11-21 17:39:40.241207,Email
354,21222,Complete,2,144.87,2023-11-22 03:26:27.196697,Facebook
355,6431,Cancelled,1,63.64,2023-11-22 14:33:49.564508,Search
356,695,Complete,1,58.1,2023-11-22 18:17:30.822541,Email
357,43793,Shipped,2,28.48,2023-11-23 01:53:09.081165,Search
358,37830,Complete,2,43.62,2023-11-23 11:33:04.724500,Display
359,27195,Returned,2,95.94,2023-11-23 12:21:23.387540,Facebook
360,45447,Complete,1,29.53,2023-11-23 18:30:03.559895,Facebook
361,4371,Returned,2,59.63,2023-11-23 19:25:13.029596,Facebook
362,3634,Complete,3,155.69,2023-11-23 21:07:24.713435,Email
363,46135,Complete,4,166.84,2023-11-24 11:18:19.912468,Search
364,33559,Returned,1,21.43,2023-11-24 17:38:35.908741,Search
365,43752,Complete,3,132.38,2023-11-25 00:29:07.054890,Organic
366,10102,Cancelled,4,235.64,2023-11-25 11:32:08.040023,Organic
367,36824,Returned,4,204.24,2023-11-26 07:33:32.573807,Organic
368,39483,Complete,1,12.25,2023-11-26 08:44:23.104461,Facebook
369,6541,Cancelled,1,59.06,2023-11-26 19:50:46.573245,Email
370,10009,Complete,1,25.35,2023-11-27 13:55:40.204992,Email
371,14827,Complete,1,51.96,2023-11-27 16:09:55.692532,Email
372,12191,Shipped,2,76.73,2023-11-28 15:30:55.049774,Email
373,37297,Complete,1,23.02,2023-11-29 04:15:20.014501,Organic
374,47310,Complete,4,110.29,2023-11-29 14:04:47.183055,Organic
375,1189,Complete,3,100.93,2023-11-29 18:34:14.163898,Email
376,8548,Complete,1,12.73,2023-11-30 01:46:10.662642,Display
377,13318,Complete,1,34.09,2023-11-30 06:15:50.975461,Organic
378,4018,Returned,1,71.52,2023-12-01 11:23:19.638223,Display
379,15087,Returned,3,106.42,2023-12-01 16:36:45.611075,Search
380,42382,Complete,2,60.17,2023-12-02 09:51:46.659175,Facebook
381,3633,Complete,1,26.01,2023-12-03 08:22:01.014253,Organic
382,10137,Returned,3,82.75,2023-12-03 09:03:53.326561,Organic
383,47633,Complete,1,80.25,2023-12-03 10:47:16.431806,Organic
384,2142,Complete,1,109.06,2023-12-03 19:23:56.268018,Email
385,47214,Returned,1,39.62,2023-12-04 10:11:22.828292,Email
386,17443,Complete,1,32.43,2023-12-04 13:06:59.095785,Search
387,16585,Complete,2,115.13,2023-12-04 19:09:06.071663,Email
388,25319,Complete,2,102.32,2023-12-06 05:36:37.072933,Facebook
389,47402,Processing,4,114.63,2023-12-06 07:26:00.094675,Organic
390,24048,Complete,1,71.53,2023-12-06 09:14:06.088036,Email
391,23420,Complete,1,91.9,2023-12-06 11:22:54.220080,Organic
392,19205,Returned,1,54.34,2023-12-06 17:13:49.754363,Search
393,8991,Complete,1,35.01,2023-12-06 23:11:56.857837,Search
394,24584,Complete,2,78.12,2023-12-07 05:33:23.620003,Facebook
395,39230,Complete,3,118.12,2023-12-08 07:24:42.977612,Organic
396,10323,Complete,1,78.9,2023-12-08 09:20:26.994470,Search
397,32126,Returned,1,99.97,2023-12-08 19:59:08.621523,Email
398,43243,Processing,2,44.92,2023-12-09 22:14:38.360942,Email
399,9064,Returned,1,36.16,2023-12-10 08:36:07.977753,Organic
400,18465,Complete,3,65.1,2023-12-10 22:56:13.685276,Search
